"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
16.03.2020;Кемеровская обл.;2;0;0;0;0;0
16.03.2020;Кировская обл.;1;0;0;0;1;0
16.03.2020;Коми;1;0;0;0;1;0
16.03.2020;Костромская обл.;0;0;0;0;0;0
16.03.2020;Краснодарский край;1;0;0;0;0;0
16.03.2020;Красноярский край;0;0;0;0;0;0
16.03.2020;Крым;0;0;0;0;0;0
16.03.2020;Курганская обл.;0;0;0;0;0;0
16.03.2020;Курская обл.;0;0;0;0;0;0
16.03.2020;Ленинградская обл.;1;0;0;0;0;0
16.03.2020;Липецкая обл.;3;0;0;0;0;0
16.03.2020;Магаданская обл.;0;0;0;0;0;0
16.03.2020;Марий Эл;0;0;0;0;0;0
16.03.2020;Мордовия;0;0;0;0;0;0
16.03.2020;Москва;53;1;0;0;18;0
16.03.2020;Московская обл.;8;0;0;0;-1;0
16.03.2020;Мурманская обл.;0;0;0;0;0;0
16.03.2020;Нижегородская обл.;1;0;0;0;0;0
16.03.2020;Новгородская обл.;0;0;0;0;0;0
16.03.2020;Новосибирская обл.;0;0;0;0;0;0
16.03.2020;Омская обл.;0;0;0;0;0;0
16.03.2020;Оренбургская обл.;0;0;0;0;0;0
16.03.2020;Орловская обл.;0;0;0;0;0;0
16.03.2020;Пензенская обл.;0;0;0;0;0;0
16.03.2020;Пермский край;2;0;0;0;1;0
16.03.2020;Приморский край;0;0;0;0;0;0
16.03.2020;Псковская обл.;0;0;0;0;0;0
16.03.2020;Ростовская обл.;0;0;0;0;0;0
16.03.2020;Рязанская обл.;0;0;0;0;0;0
16.03.2020;Самарская обл.;3;0;0;0;3;0
16.03.2020;Санкт-Петербург;8;2;0;0;3;1
16.03.2020;Саратовская обл.;0;0;0;0;0;0
16.03.2020;Саха (Якутия);0;0;0;0;0;0
16.03.2020;Сахалинская обл.;0;0;0;0;0;0
16.03.2020;Свердловская обл.;0;0;0;0;0;0
16.03.2020;Севастополь;0;0;0;0;0;0
16.03.2020;Северная Осетия;0;0;0;0;0;0
16.03.2020;Смоленская обл.;0;0;0;0;0;0
16.03.2020;Ставропольский край;0;0;0;0;0;0
16.03.2020;Тамбовская обл.;0;0;0;0;0;0
16.03.2020;Татарстан;0;0;0;0;0;0
16.03.2020;Тверская обл.;0;0;0;0;0;0
16.03.2020;Томская обл.;0;0;0;0;0;0
16.03.2020;Тульская обл.;0;0;0;0;0;0
16.03.2020;Тыва;0;0;0;0;0;0
16.03.2020;Тюменская обл.;2;1;0;0;1;0
16.03.2020;Удмуртия;0;0;0;0;0;0
16.03.2020;Ульяновская обл.;0;0;0;0;0;0
